total_timesteps,approxkl,ep_len_mean,clipfrac,ep_reward_mean,time_elapsed,policy_entropy,value_loss,serial_timesteps,true_reward,n_updates,fps,explained_variance,policy_loss,fps1
30000,0.00023538969,278.67,0.0,-38.49800392352044,0.017328262329101562,4.257666,19.416378,300,-0.17187709,1,2863,6.890296936035156e-05,-0.00027320656,25901
60000,0.0006874484,235.14,0.00029,-30.94626584894955,10.614085674285889,4.257888,62.008198,600,-0.25173092,2,6864,-6.842613220214844e-05,0.00036550272,35787
90000,0.0006347966,215.66,1.6666667e-05,-26.042551415711642,15.004963159561157,4.2528744,53.338753,900,-0.25092074,3,7241,0.0005507469177246094,0.00052598905,44165
120000,0.003008504,182.4,0.034433335,-21.77216488622129,19.167511224746704,4.2491064,82.541405,1200,-0.29982877,4,7056,0.000788569450378418,-0.0013573116,45503
150000,0.00244247,256.38,0.026296666,-32.69143013298512,23.439974308013916,4.2455645,41.070915,1500,-0.20838216,5,7110,-0.0018177032470703125,-0.0005530818,44373
180000,0.0025716082,272.5,0.015439999,-39.59275057792664,27.665781497955322,4.2471824,26.154297,1800,-0.19488437,6,7199,-0.0026726722717285156,-4.268885e-05,43998
210000,0.0040466506,276.84,0.044016667,-40.09713460616767,31.83901357650757,4.246229,25.167477,2100,-0.18880683,7,7296,-0.0027159452438354492,-0.00031923232,45589
240000,0.0025308323,265.14,0.022523332,-34.6791849681735,35.95659589767456,4.240107,30.232315,2400,-0.19339286,8,7140,-0.0014576911926269531,-0.000260818,43380
270000,0.0040087937,229.43,0.039946668,-31.45269312746823,40.16650629043579,4.234174,39.163673,2700,-0.23816729,9,7152,-0.0006674528121948242,-0.00041839544,44265
300000,0.0026753985,268.2,0.0126766665,-36.1276131208241,44.36788988113403,4.2302485,18.818684,3000,-0.18282683,10,7313,-0.0016632080078125,0.00067019893,44151
330000,0.0049174665,220.71,0.056500006,-26.959226145893336,48.47669076919556,4.227169,49.697033,3300,-0.25025326,11,7326,-0.0010564327239990234,4.3232332e-05,44735
360000,0.0040307175,274.09,0.037649997,-38.430043334886435,52.57827925682068,4.224759,25.57653,3600,-0.19198287,12,7194,-0.0016247034072875977,-0.00033523436,45035
390000,0.0048931856,271.64,0.060146667,-41.2020133189857,56.7557008266449,4.2225657,30.87177,3900,-0.21150705,13,7124,-0.0018385648727416992,-0.0005274745,44514
